Flight No.,Date,Time,Version Booster,Launch Site,Payload,Payload mass,Orbit,Customer,Launch outcome,Booster landing
1,4 June 2010,18:45,F9 v1.07B0003.18,CCAFS,Dragon Spacecraft Qualification Unit,0.0,LEO,SpaceX,"Success
",Failure
2,8 December 2010,15:43,F9 v1.07B0004.18,CCAFS,Dragon,0.0,LEO,NASA(COTS)NRO,Success,Failure
3,22 May 2012,07:44,F9 v1.07B0005.18,CCAFS,Dragon,0.0,LEO,NASA(COTS),Success,"No attempt
"
4,8 October 2012,00:35,F9 v1.07B0006.18,CCAFS,SpaceX CRS-1,0.0,LEO,NASA(CRS),"Success
",No attempt
5,1 March 2013,15:10,F9 v1.07B0007.18,CCAFS,SpaceX CRS-2,0.0,LEO,NASA(CRS),"Success
","No attempt
"
6,29 September 2013,16:00,F9 v1.17B10038,VAFB,CASSIOPE,0.0,Polar orbit,MDA,Success,Uncontrolled
7,3 December 2013,22:41,F9 v1.1,CCAFS,SES-8,0.0,GTO,SES,Success,No attempt
8,6 January 2014,22:06,F9 v1.1,CCAFS,Thaicom 6,0.0,GTO,Thaicom,Success,No attempt
9,18 April 2014,19:25,F9 v1.1,Cape Canaveral,SpaceX CRS-3,0.0,LEO,NASA(CRS),"Success
",Controlled
10,14 July 2014,15:15,F9 v1.1,Cape Canaveral,Orbcomm-OG2,0.0,LEO,Orbcomm,Success,Controlled
11,5 August 2014,08:00,F9 v1.1,Cape Canaveral,AsiaSat 8,0.0,GTO,AsiaSat,Success,No attempt
12,7 September 2014,05:00,F9 v1.1[,Cape Canaveral,AsiaSat 6,0.0,GTO,AsiaSat,Success,"No attempt
"
13,21 September 2014,05:52,F9 v1.1[,Cape Canaveral,SpaceX CRS-4,0.0,LEO,NASA(CRS),Success,Uncontrolled
14,10 January 2015,09:47,F9 v1.1[,Cape Canaveral,SpaceX CRS-5,0.0,LEO,NASA(CRS),Success,Failure 
15,11 February 2015,23:03,F9 v1.1[,Cape Canaveral,DSCOVR,0.0,HEO,USAFNASANOAA,"Success
",Controlled
16,2 March 2015,03:50,F9 v1.1[,Cape Canaveral,ABS-3A,0.0,GTO,ABSEutelsat,"Success
",No attempt
17,14 April 2015,20:10,F9 v1.1[,Cape Canaveral,SpaceX CRS-6,0.0,LEO,NASA(CRS),"Success
",Failure
18,27 April 2015,23:03,F9 v1.1[,Cape Canaveral,TürkmenÄlem 52°E / MonacoSAT,0.0,GTO,Turkmenistan NationalSpace Agency[88],"Success
",No attempt
19,28 June 2015,14:21,F9 v1.1[,Cape Canaveral,SpaceX CRS-7,0.0,LEO,NASA(CRS),Failure,Precluded
20,22 December 2015,01:29,F9 FT[,Cape Canaveral,Orbcomm-OG2,0.0,LEO,Orbcomm,"Success
",Success
21,17 January 2016,18:42,F9 v1.1[,VAFB,Jason-3,0.0,LEO,NASA(LSP)NOAACNES,"Success
",Failure
